java,matmul_v1:100,115
java,matmul_v1:100,127
java,matmul_v1:100,103
java,matmul_v1:100,125
java,matmul_v1:100,103
java,matmul_v1:500,264
java,matmul_v1:500,238
java,matmul_v1:500,248
java,matmul_v1:500,276
java,matmul_v1:500,255
java,matmul_v1:1000,1174
java,matmul_v1:1000,1199
java,matmul_v1:1000,1145
java,matmul_v1:1000,1408
java,matmul_v1:1000,1539
java,matmul_v1:1500,4150
java,matmul_v1:1500,4005
java,matmul_v1:1500,3572
java,matmul_v1:1500,3423
java,matmul_v1:1500,3668
java,matmul_v1:2000,14494
java,matmul_v1:2000,8843
java,matmul_v1:2000,8010
java,matmul_v1:2000,17612
java,matmul_v1:2000,8293
